basarea,uparea,rchindex,rchid,dsrch_nrch,dsrch_rchid,start_lat,end_lat,start_lon,end_lon,numuprch,uprch_nrch1,uprch_nrch2,uprch_nrch3,uprch_nrch4,uprch_nrch5,uprch_nrch6,uprch_nrch7,uprch_nrch8,uprch_nrch9,uprch_nrch10,uprch_rchid1,uprch_rchid2,uprch_rchid3,uprch_rchid4,uprch_rchid5,uprch_rchid6,uprch_rchid7,uprch_rchid8,uprch_rchid9,uprch_rchid10,rchslope,rchman_n,rchwidth,rchlength,,,
1370688,1265056000,0,15440662,-999,15412054,-46.286,-46.301,168.083,168.076,2,1,2,-999,-999,-999,-999,-999,-999,-999,-999,15440550,15163382,-999,-999,-999,-999,-999,-999,-999,-999,9.00E-04,0.024,57.42,2289,,,
479616,1263669000,1,15440550,0,15440662,-46.282,-46.286,168.093,168.083,2,3,4,-999,-999,-999,-999,-999,-999,-999,-999,15440518,15399270,-999,-999,-999,-999,-999,-999,-999,-999,0.0046,0.024,57.38,1056,,,
16576,17000,2,15163382,0,15440662,-46.284,-46.286,168.081,168.083,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0473,0.024,0.17,237,,,
534848,1252636000,3,15440518,1,15440550,-46.281,-46.282,168.093,168.093,2,5,6,-999,-999,-999,-999,-999,-999,-999,-999,15440486,15334790,-999,-999,-999,-999,-999,-999,-999,-999,0.0229,0.024,57.12,195,,,
3208064,10553000,4,15399270,1,15440550,-46.266,-46.282,168.127,168.093,2,417,418,-999,-999,-999,-999,-999,-999,-999,-999,15383310,15337606,-999,-999,-999,-999,-999,-999,-999,-999,0.0076,0.024,4.81,3946,,,
884096,1251253000,5,15440486,3,15440518,-46.275,-46.281,168.081,168.093,2,7,8,-999,-999,-999,-999,-999,-999,-999,-999,15440390,15399094,-999,-999,-999,-999,-999,-999,-999,-999,0.0078,0.024,57.09,1248,,,
848192,848000,6,15334790,3,15440518,-46.278,-46.281,168.099,168.093,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0146,0.024,1.3,433,,,
161344,1240466000,7,15440390,5,15440486,-46.27,-46.275,168.083,168.081,2,9,10,-999,-999,-999,-999,-999,-999,-999,-999,15440366,15332702,-999,-999,-999,-999,-999,-999,-999,-999,0.0101,0.024,56.84,641,,,
268928,9903000,8,15399094,5,15440486,-46.272,-46.275,168.075,168.081,2,383,384,-999,-999,-999,-999,-999,-999,-999,-999,15395846,15363006,-999,-999,-999,-999,-999,-999,-999,-999,0.0132,0.024,4.66,637,,,
514816,1239185000,9,15440366,7,15440390,-46.266,-46.27,168.084,168.083,2,11,12,-999,-999,-999,-999,-999,-999,-999,-999,15440310,15375494,-999,-999,-999,-999,-999,-999,-999,-999,0.0064,0.024,56.81,624,,,
