nzseg_v3,catchment_area,grid_area,grid_coverage
15440662,1370688.0,1370688.0,1.0
15440550,479616.0,479616.0,1.0
15163382,16576.0,16576.0,1.0
15440518,534848.0,534848.0,1.0
15399270,3208064.0,3208064.0,1.0
15440486,884096.0,884096.0,1.0
15334790,848192.0,848192.0,1.0
15440390,161344.0,161344.0,1.0
15399094,268928.0,268928.0,1.0
15440366,514816.0,514816.0,1.0
15332702,1119104.0,1119104.0,1.0
15440310,1968768.0,1968768.0,1.0
15375494,3532416.0,3532416.0,1.0
15440158,7199040.0,7199040.0,1.0
15396294,1234752.0,1234752.0,1.0
15439854,250240.0,250240.0,1.0
15375350,4402112.0,3094510.26688682,0.70296037
15439806,733248.0,733248.0,1.0
15351446,1433216.0,1433216.0,1.0
15439782,20352.0,20352.0,1.0
15398374,808128.0,808128.0,1.0
15439750,2426624.0,2426624.0,1.0
15340126,1632192.0,1632192.0,1.0
15439550,177984.0,177984.0,1.0
15373990,941504.0,941504.0,1.0
15439510,884864.0,883482.01599997,0.9984382
15374166,2286080.0,2286080.0,1.0
15439454,1103680.0,1103680.0,1.0
15395262,59648.0,59648.0,1.0
15439254,145536.0,145536.0,1.0
15311390,895872.0,895872.0,1.0
15439230,575616.0,575616.0,1.0
15364846,2565952.0,2565952.0,1.0
15438990,1820416.0,1820416.0,1.0
15396038,10807872.0,3308240.22119959,0.30609543
15438726,437248.0,437248.0,1.0
15264086,399808.0,399808.0,1.0
15438630,56896.0,56896.0,1.0
15387430,1082304.0,836860.50899996,0.7732213
15438598,162048.0,162048.0,1.0
15061126,491200.0,491200.0,1.0
15438486,1022976.0,1022976.0,1.0
15337846,1388544.0,1388544.0,1.0
15438390,961664.0,961664.0,1.0
15260262,283584.0,283584.0,1.0
15438286,277824.0,277824.0,1.0
15316342,831232.0,831232.0,1.0
15438222,777664.0,777664.0,1.0
15045574,1123456.0,1123456.0,1.0
15307190,630912.0,630912.0,1.0
15438102,862848.0,862848.0,1.0
15318382,523968.0,523968.0,1.0
15437982,3284416.0,3284416.0,1.0
15425670,2957120.0,2957120.0,1.0
15423798,6040320.0,6040320.0,1.0
15437174,792384.0,792384.0,1.0
15387125,1059584.0,1059584.0,1.0
15375381,4608768.0,4608768.0,1.0
15386709,38720.0,38720.0,1.0
15361669,2726144.0,2694172.8456881,0.98827239
15386573,1797440.0,1797440.0,1.0
15347629,3117184.0,3117184.0,1.0
15386141,1543424.0,1543424.0,1.0
15316893,944192.0,944192.0,1.0
15384685,252992.0,252992.0,1.0
15373877,1912448.0,1912448.0,1.0
15383685,536448.0,535338.73200003,0.9979322
15292293,1125568.0,1125568.0,1.0
15378493,3454080.0,3454080.0,1.0
15383253,2837376.0,2837376.0,1.0
15346805,2173760.0,2173760.0,1.0
15367533,469952.0,469952.0,1.0
15234821,273536.0,273536.0,1.0
15313789,352000.0,352000.0,1.0
15115133,2275264.0,2273445.61811219,0.9992008
15375741,2833472.0,2833472.0,1.0
15382469,1546624.0,1519583.2198001,0.98251625
15374277,295936.0,168303.01191247,0.56871422
15384125,201984.0,201984.0,1.0
15275525,676736.0,676736.0,1.0
15386389,1138048.0,891294.88360021,0.78317864
15386373,2922752.0,2908123.77199996,0.99499505
15386965,583424.0,529569.19900016,0.90769183
15330989,2726080.0,1833506.53699944,0.67257987
15076525,1689856.0,1689856.0,1.0
15082837,83904.0,83904.0,1.0
15387357,58688.0,58688.0,1.0
15354181,168576.0,37837.40000017,0.22445307
15387453,937216.0,924328.48391224,0.98624915
15074085,5600640.0,2209478.63199978,0.39450467
15075205,75136.0,75136.0,1.0
15388309,70464.0,70464.0,1.0
15382317,7569408.0,2470254.32760106,0.3263471
15388397,1117184.0,1112056.97600004,0.99541076
15367661,263744.0,263744.0,1.0
15388757,158208.0,158208.0,1.0
